initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.1648764579397478,0.36970195360770436,0.46542158845254783,1.1008553886135526,1.0563984367019625,0.7975176025065689,0.9849238092740281,57.49224224224224,37.978728728728726,39.915665665665664,3.0377408287147007,3.961995249406176,4.567432040116126,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,-0.5360851894731054,0.7383251430060438,0.7977600464670616,-4.9059315913277874,2.1763920456727828,1.3920205237065055,-0.44583967398283303,46.351351351351354,28.256506506506508,21.405905905905907,4.021113750329902,4.921615201900238,5.263130113486408,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.21091694094393948,0.3405511160770754,0.4485319429789852,3.0516575100312204,1.5138958921687728,1.0149412407129241,1.8601648809709725,28.82157157157157,10.314064064064064,17.435685685685687,4.424386381631037,5.217735550277117,6.072842438638163,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.069898389299132,0.24881803398007743,0.6812835767207907,0.30446216175789104,0.29303556206611275,0.1059866553099579,0.2344947930446539,73.08458458458458,92.57507507507508,94.90490490490491,77.48218527315915,80.16574294008973,81.12905779889154,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.06701912420348193,0.21882626574009462,0.7141546100564234,0.27617252000979037,0.29585040056185347,0.09338611347662429,0.2218030113494227,70.24424424424426,92.4034034034034,95.20345345345346,76.23964106624439,79.67168118237002,81.03140670361573,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.08423004341006526,0.20184299419555676,0.713926962394378,0.22023262132283447,0.31753735691722157,0.08607234059808505,0.20794743961271367,64.42942942942943,91.15365365365366,94.98848848848849,73.11005542359462,78.93850620216416,80.74109263657958,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.000256121758290945,0.23300158220020678,0.7667422960415022,2.8284271247461903,2.042615865058647,0.6205379720514289,1.8305269872854222,55.026026026026024,10.636386386386388,13.670170170170168,2.5632092900501453,5.143309580364213,5.095803642121933,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,-0.16577859222304217,0.21149928641160873,0.9542793058114334,-3.509028997780366,3.4422563009330327,1.1667453326385475,0.366657545263738,47.272272272272275,10.877127127127126,13.024524524524525,4.036949063077329,5.062021641594088,5.255740300870942,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3424937994111615,0.1494331002694027,0.5080731003194358,2.1131601116002012,3.821391525807979,0.7860872720270804,2.2402129698117537,36.49324324324324,7.088588588588588,7.664664664664665,4.223277909738718,4.673000791765637,5.296384270256004,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.09252243412177792,0.3662792313835642,0.5411983344946578,0.330024198252929,0.39830848561728877,0.2662047874511554,0.3315124904404577,69.71471471471472,90.1574074074074,92.80255255255254,75.64634468197413,79.20242808128793,80.33676431776193,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.08314429081229315,0.34069258341611863,0.5761631257715882,0.26393821270499146,0.3769422356736819,0.22203364377903115,0.2876380307192348,67.77527527527528,91.03353353353353,93.87712712712712,75.61414621272102,79.39245183425706,80.34045922406968,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.09979566139188048,0.31644370651982984,0.5837606320882897,0.2169454451114377,0.37488756882222063,0.20340601746206638,0.2650796771319082,62.74274274274274,90.62287287287288,94.07257257257258,73.2019002375297,78.92900501451571,80.73950910530483,0.049152,1.204,3.301,17.927
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.20076437848763054,0.404497657542582,0.39473796396978744,1.948746308076534,1.1662480723212127,1.1699185117504214,1.4283042973827227,51.12787787787788,5.311561561561561,6.943943943943944,3.689627870150436,5.176035893375561,5.480601741884402,0.049152,1.204,3.301,17.927
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.1,0.4210121799480887,0.4789878200519113,3.162277660168379,1.2404257548867776,1.1030882469037366,1.8352638873196312,46.917167167167165,8.962212212212213,7.527777777777778,3.9271575613618372,5.228292425442069,5.66904196357878,0.049152,1.204,3.301,17.927
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.09231912824426722,0.31516987085748155,0.5925110008982513,3.0623328116818485,1.4776557217424644,0.8167186014964715,1.7855690449735946,37.79154154154154,4.556056056056056,4.4004004004004,3.6083399313803115,5.081551860649248,5.4146212721034574,0.049152,1.204,3.301,17.927
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.11992278636026506,0.417129020762397,0.46294819287733796,0.3108181007478864,0.3770272531919962,0.33508557186320254,0.340976975267695,64.38088088088088,87.45895895895896,90.48998998998998,73.71707574557931,76.91897598310901,79.00607020321985,0.049152,1.204,3.301,17.927
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0925085087535398,0.3982195895453318,0.5092719017011283,0.26161141344759975,0.41158882675160346,0.3139072311749141,0.3290358237913724,65.01401401401401,89.59809809809809,92.45995995995996,75.24835048825548,79.00712589073633,79.6526788070731,0.049152,1.204,3.301,17.927
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.1085704698469876,0.35774543948787124,0.5336840906651411,0.2296749672966176,0.3959184006757299,0.26987558644161097,0.2984896514713195,60.27777777777778,89.51176176176176,93.37162162162161,71.6859329638427,79.25574030087094,79.90709949854843,0.049152,1.204,3.301,17.927
