,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.0090124617395905,0.0507170762677147,0.9402704619926948,0.0449543672595963,0.0406422677369377,0.0029863819919466,0.0295276723294935,59.90289892660997,76.87356384600335,79.95468009883014,71.40493751280475,76.02489244007376,77.50076828518746,0.049152,1.204,3.301,17.927,77.50076828518746
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.0438356106655468,0.0516458738282445,0.9045185155062084,0.0025315088444756,0.0271668576977443,0.0017947831791741,0.010497716573798,59.34550054374781,77.2695214564251,80.65531849061068,71.40929112886703,76.55654578979717,78.29568735914772,0.049152,1.204,3.301,17.927,78.29568735914772
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0853446867787954,0.0554266518513411,0.8592286613698634,0.0071699558596363,0.0165445669673376,0.0017771706343972,0.0084972311537904,55.54527212416561,75.90601125717224,80.04186175610066,68.79276787543536,75.46942224953904,77.72561975005122,0.049152,1.204,3.301,17.927,77.72561975005122
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.0074915168160768,0.0409789632826168,0.9515295199013064,0.070570202489122,0.0345667360937711,0.002259629845881,0.0357988561429247,60.72047722401955,77.04310395821105,80.12130808887433,71.6318377381684,75.71143208358943,77.48745134193813,0.049152,1.204,3.301,17.927,77.48745134193813
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0448085491014575,0.0477960027198524,0.90739544817869,0.0094566357535385,0.0220470930442823,0.0014719160093943,0.0109918816024051,59.73681695947145,77.21883233001626,80.5971670511578,71.36857201393157,76.28329235812333,78.03267772997336,0.049152,1.204,3.301,17.927,78.03267772997336
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.0799552344710859,0.0549941620158024,0.8650506035131116,0.0084936638625548,0.025342781877231,0.0021125234076504,0.0119829897158121,56.03805779652456,76.23444403492726,80.21768113172348,69.71522229051423,75.86099160008195,77.87722802704364,0.049152,1.204,3.301,17.927,77.87722802704364
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.0351721918607839,0.0644932270206687,0.9003345811185474,0.0324791477129351,0.0911183417836822,0.0093484766946361,0.0443153220637511,47.87556137979988,69.43045260748688,74.2655764409317,61.95554189715222,69.49088301577545,72.47131735300144,0.049152,1.204,3.301,17.927,72.47131735300144
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.0414175400338943,0.0702445272453598,0.8883379327207457,0.0076436938057992,0.045633413437331,0.0038985355646672,0.0190585476025991,52.05090753557112,72.7376223432573,77.05275036287773,65.85535750870723,72.64648637574267,74.78564843269822,0.049152,1.204,3.301,17.927,74.78564843269822
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.1018132254948553,0.0933855660860314,0.8048012084191132,0.0105112380903002,0.0399066939023395,0.0043243309662657,0.0182474209863018,46.98390597485564,70.02015734560065,76.09739228560639,61.655654578979714,70.65560335996722,74.3139213275968,0.049152,1.204,3.301,17.927,74.3139213275968
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.0308680629545471,0.0684262972821066,0.9007056397633462,0.0664566061544773,0.190238857548731,0.025653040004771,0.0941161679026598,49.814579721619324,70.59894162560119,74.75535898730952,63.329491907396026,69.59357713583283,72.39474492931777,0.049152,1.204,3.301,17.927,72.39474492931777
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0435402649107152,0.0759665280300145,0.8804932070592703,0.0091011238891285,0.0603711323261385,0.0069544262457694,0.0254755608203455,52.35049210314373,73.00826769682989,77.17378544029923,65.849979512395,72.50921942224954,75.03431673837328,0.049152,1.204,3.301,17.927,75.03431673837328
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.0888680753064077,0.0875725759013354,0.8235593487922569,0.0086037392949483,0.0390011708490428,0.0047171820670577,0.017440697403683,50.03417193351262,72.54951745225712,77.60723662357637,64.4081643105921,72.84572833435772,75.57877484122106,0.049152,1.204,3.301,17.927,75.57877484122106
13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.0661019465468041,0.0818516113175958,0.8520464421356001,0.0111728932948576,0.1229670569097401,0.0112675021437506,0.0484691507827828,41.78403884042936,67.27020398505718,73.26471645485528,58.1719934439664,68.2818582257734,71.53785085023561,0.049152,1.204,3.301,17.927,71.53785085023561
14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.1083892453678044,0.1222311718867638,0.7693795827454317,0.0111729715933488,0.0802495521634477,0.0143670413807714,0.0352631883791893,39.87159361335208,65.44266531981016,73.80628017345329,54.47474902683876,68.08082360172097,72.66185207949191,0.049152,1.204,3.301,17.927,72.66185207949191
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0627882496952605,0.0964871201736364,0.840724630131103,0.0102566171163438,0.1042800976193811,0.0136576808167213,0.0427314651841487,46.15085702845234,68.90645262568765,74.14563340932152,60.58722597828314,69.40534726490473,72.2400635115755,0.049152,1.204,3.301,17.927,72.2400635115755
17,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.1137392087513279,0.1120412381431834,0.7742195531054886,0.0173417666732201,0.0665175228844732,0.0141540882746901,0.0326711259441278,44.3103958211047,66.29264097628895,74.26139026532162,57.509475517312026,68.59301372669535,72.82805777504609,0.049152,1.204,3.301,17.927,72.82805777504609
